id,zanr_vana,zanr1,zanr2,zanr3,lliik,liik_vana
331,,,,,Sõimulaulud,sõimulaul
332,,,,,Sõjalaulud,sõjalaul
333,,,,,Talgulaulud,talgulaul
334,,uuem rahvalaul,,,,ul?
335,,ringmängulaul,,,,ul/mngl
336,,uuem rahvalaul,,,,ul
337,,,,,Vastlalaulud,Vastlalaul
338,nõiasõnad,,,,,Loitsud
339,fraseologism/siirdevormiline laul,,,,,
340,,,,,,Lori
341,ajalugu/regilaul,,,,,
342,,,,,,Jõululaulud
343,,,,,,Lastelaulud
344,,,,,,Ahellaulud
345,,,,,,Nekrutilaulud
346,vaimulik rahvalaul,,,,,
347,andmed/regilaul,,,,,Lastelaulud
348,kiri/regilaul,,,,,
349,,,,,,Mängulaulud
350,regilaul/uuem rahvalaul,,,,,
351,,,,,,Hällilaulud
352,muistend/regilaul,,,,,Loitsud
353,naljand/regilaul,,,,,Looduslaulud
354,pajatus/siirdevormiline laul,,,,,
355,kombekirjeldus/vaimulik rahvalaul,,,,,
356,,,,,,pl/lorilaul
357,,,,,,Kiigelaulud
358,,,,,,Laulumängud
359,jutt/labajalalaul,,,,,
360,,,,,,Pulmalaulud ?
361,mäng/regilaul,,,,,
362,regilaul/vanasõna,,,,,
363,,,,,,Improvisatsioonid
364,etnograafia/regilaul,,,,,Laulumängud
365,,,,,,
366,etnograafia/regilaul,,,,,
367,regilaul/siirdevormiline laul,,,,,
368,andmed/regilaul,,,,,
369,rl/ul/ns,uuem rahvalaul,regilaul,,,Loitsud
370,,,,,,hällilaul
371,,,,,,jaanilaul
372,jutt/siirdevormiline laul,,,,,
373,,,,,,Pulmalaulud(?)
374,kombekirjeldus/nõiasõnad,,,,,Loitsud
375,naljand,,,,,
376,,,,,,Pulmalaulud
377,uuem rahvalaul ?,,,,,
378,ajalugu/uuem rahvalaul,,,,,
379,,,,,,Pulmalaulud
380,andmed,,,,,
381,muinasjutt/loodushäälend,,,,,
382,,,,,,pulmalaul
383,labajalalaul/siirdevormiline laul,,,,,
384,kombekirjeldus/labajalalaul/regilaul,,,,,
385,varia,,,,,Lastelaulud
386,muinasjutt,,,,,
387,,,,,,poiste lori
388,andm/ul,andmed,uuem rahvalaul,,,
389,etnograafia/muistend/uuem rahvalaul,,,,,
390,uuem rahvalaul,,,,,
391,ajalugu/uuem rahvalaul/regilaul,,,,,
392,kombekirjeldus/labajalalaul,,,,,Pulmalaulud
393,naljand/uuem rahvalaul,,,,,
394,,,,,,Improvisatsioon
395,nõiasõnad,,,,,
396,,,,,,Mõistatuslaulud
397,,,,,,lorilaul
398,,,,,,Looduslaulud
399,varia,,,,,
400,uuem tantsulaul,,,,,
401,,,,,,Sanditamislaulud
402,etnograafia/regilaul,,,,,Laulumäng
403,pajatus/fraseologism,,,,,
404,pajatus/regilaul,,,,,
405,kombekirjeldus/regilaul,,,,,Pulmalaulud
406,,,,,,Kalendrilaulud
407,muinasjutt/regilaul,,,,,
408,,,,,,Sõjalaul
409,,,,,Pulmalaulud,(Pl)
410,vanasĆµna,,,,,
411,ringmängulaul/regilaul,,,,,Laulumängud
412,uuem rahvalaul/vanasõna,,,,,
413,labajalalaul,,,,,
414,,,,,,Lastelaulud ?
