laul_id,zanr_id,jrk,originaal
e000190460002,22,1,Ul
e00019149000c,22,1,Ul
e000191820004,19,1,Rmngl
e000191840006,19,1,Rmngl
e000192060002,22,1,Ul
e000192100003,22,1,Ul
e000193710008,10,1,lh
e000194160000,10,1,lh
e00019416000a,10,1,
e00019416000b,10,1,lh
e000200730002,22,1,Ul
e000200740003,22,1,Ul
e000206580004,22,1,
e000207290000,10,1,lh
e00020729000a,10,1,lh
e000209040000,22,1,Ul
e000226360003,10,1,lh
e00022777000a,22,1,Ul
e000231880000,6,1,keel
e000238040008,26,1,ll/ns
e000240340007,22,1,Ul
e000240360011,20,1,Rl/ul
e000240410019,22,1,Ul
e000244920000,10,1,lh
e000245750058,11,1,mst
e000245760028,11,1,mst
e000247760002,22,1,Ul
e000248100100,11,1,mst
e000248930014,22,1,Ul
e000249850000,22,1,Ul
e000250210013,22,1,Ul
e000252410001,22,1,lk:ul
e000252510012,22,1,Ul
e000254330000,26,1,rl/ul/mngl
e000254350001,22,1,Ul
e000257130002,20,1,Rl/ul
e000259480000,22,1,Ul
e000261200001,14,1,Mng
e000262940008,19,1,ul/Mngl
e000264140001,10,1,lh
e000264140002,10,1,lh
e000264140003,10,1,lh
e000264340026,20,1,Rl/ul
e000264380005,22,1,Ul
e000267380000,22,1,Ul
e000269770012,20,1,Rl/ul
e000269870016,22,1,Ul
e000272200000,14,1,Mng
e000273410008,22,1,Ul
e000274840002,22,1,Ul
e000276690006,22,1,Ul
e000276690007,22,1,Ul
e000279980012,22,1,Ul
e000280380016,22,1,Ul
e000281530028,22,1,Ul
e000287580064,22,1,Ul
e000287610065,22,1,Ul
e000289150022,20,1,Rl/ul
e000295720000,10,1,lh
e000295960002,10,1,lh
e000301380005,20,1,Rl/ul
e000301390006,22,1,Ul
e000301400000,22,1,Ul
e000301410000,22,1,Ul
e000301480010,22,1,Ul
e000308290009,22,1,Ul
e000308320011,22,1,Ul
e000308340012,22,1,
e000308440013,22,1,Ul
e000308530010,22,1,Ul
e000312730006,22,1,
e000313300001,22,1,Ul
e000317490000,19,1,ul/Mngl
e000322560000,10,1,lh
e000325410001,22,1,Ul
e000335640000,26,1,Tl
e000340840011,21,1,
e000352080013,20,1,Rl/ul
e000359900035,22,1,Ul
e000363090022,22,1,Ul
e000365040000,2,1,andm
e000373050010,22,1,Ul
e000373500000,10,1,lh
e00037350000a,10,1,lh
e000373680001,10,1,lh
e000373680002,10,1,lh
e000373680003,10,1,lh
e000373680004,10,1,lh
e000373680005,10,1,lh
e000373680006,10,1,lh
e000373680007,10,1,lh
e000373680008,10,1,lh
e000380820000,2,1,andm
e000385550000,22,1,Ul
e000394990004,22,1,Ul
e000396710005,22,1,Ul?
e000398000001,20,1,Rl/ul
e00040156000a,22,1,Ul
e00040196000a,10,1,
e00040196000b,10,1,
e000401970000,10,1,lh
e000401980000,2,1,andm
e000403050007,22,1,Ul
e000404780002,10,1,lh
e000405190000,22,1,Ul
e000405280006,22,1,Ul
e000405600000,22,1,Ul
e000406820000,22,1,Ul
e000406860000,22,1,Ul
e00040687000a,22,1,Ul
e00040687000b,22,1,Ul
e00040690000a,22,1,Ul
e000407510000,10,1,lh
e000407590000,22,1,Ul
e000407600000,22,1,Ul
e000407610000,22,1,Ul
e000407850001,10,1,lh
e000410800000,22,1,Ul
e000410820000,22,1,Ul
e000411470013,19,1,Rmng
e000413580012,19,1,Rmng
e000414300000,22,1,Ul
e000414550011,22,1,Ul
e000419030000,10,1,lh
e000421200002,20,1,Rl/ul
e000423610000,22,1,
e000423930023,22,1,Ul
e000424010032,22,1,Ul
e000424050035,22,1,Ul
e000424070038,22,1,Ul
e000424090043,22,1,Ul
e000429240002,19,1,ul/Mngl
e000430830000,19,1,ul/Mngl
e000430980017,22,1,Ul
e000431000018,22,1,Ul
e000431360031,19,1,ul/Mngl
e000432190010,22,1,Ul
e000432220011,22,1,Ul
e000432310018,19,1,ul/Mngl
e000432880004,19,1,ul/Mngl
e000432920007,19,1,ul/Mngl
e000432930008,19,1,ul/Mngl
e000432970009,19,1,ul/Mngl
e000433000010,19,1,ul/Mngl
e000433090012,22,1,Ul
e000433120016,22,1,Ul
e000433350034,19,1,ul/Mngl
e000435330008,19,1,ul/Mngl
e000435920017,22,1,Ul
e000436190032,19,1,ul/Mngl
e000436320042,19,1,ul/Mngl
e000441930002,10,1,
e000441930003,22,1,Ul
e000442100182,22,1,Ul
e000442130003,22,1,Ul
e000442170004,22,1,Ul
e00044378000a,20,1,
e000444290003,22,1,Ul
e000444300004,22,1,Ul
e000447980008,19,1,ul/Mngl
e000458290009,14,1,
e000463610002,22,1,Ul
e000469930000,11,1,mst
e000473660000,10,1,lh
e000473780000,14,1,Mng
e000476650000,24,1,Vl
e000481780000,13,1,
e000481780000,20,2,
e000485650003,22,1,Ul
e000485660005,22,1,
e000485680006,22,1,Ul
e000485840002,20,1,Rl/ul
e000485900009,26,1,Ll/mngl
e000493260000,22,1,Ul
e000494060000,22,1,Ul
e000504810000,2,1,andm
e000511380008,22,1,Ul
e000511450000,22,1,Ul
e000514420036,20,1,Rl/ul
e000517300000,22,1,Ul
e000518940005,10,1,lh
e00052009000a,22,1,Ul
e00052127000e,22,1,Ul
e000521720005,22,1,Ul
e000521720006,22,1,Ul
e000522740000,20,1,
e00052507004a,22,1,ul/ll
e00052507004b,22,1,ul/ll
e00052507004c,22,1,ul/ll
e00052510008b,21,1,
e000525130016,21,1,
e000525180032,21,1,
e000525220051,21,1,
e000525960000,8,1,
e000525960000,13,2,
e000525960000,24,3,
e000526090000,13,1,
e000526090000,27,2,
e00052657000a,21,1,
e000527630000,14,1,Mng
e000527650000,14,1,Mng
e000527850000,19,1,ul/rmng
e000528150000,11,1,mst
e000528280009,22,1,Ul
e000528430000,22,1,Ul
e000528440000,19,1,Ul/rmngl
e000531700010,22,1,Ul
e000532540001,10,1,lh
e000532550003,10,1,lh
e000532550005,10,1,lh
e000533980001,22,1,
e000535460017,10,1,lh
e000535510029,22,1,Ul
e000535530035,22,1,
e000535540039,22,1,Ul
e000535750043,22,1,Ul
e000535770000,19,1,Ul/rmngl
e000536520000,2,1,andm
e000537140008,19,1,ul/Mngl
e000537170014,19,1,ul/Mngl
e000537190018,19,1,ul/Mngl
e000537300000,10,1,lh
e000537310000,10,1,lh
e000537470000,10,1,lh
e000537480000,10,1,lh
e000537560000,10,1,lh
e000538270000,25,1,rl/vs
e000540930003,19,1,ul/Mngl
e000541060010,19,1,ul/Mngl
e000541210025,19,1,ul/Mngl
e000541220026,19,1,ul/Mngl
e000541300000,22,1,Ul
e000542850000,22,1,Ul
e000543170014,24,1,Vl
e000543190016,22,1,Ul
e000543260031,22,1,Ul
e000544660000,22,1,Ul
e000546770002,19,1,ul/Mngl
e000546780002,19,1,ul/Mngl
e000547190000,10,1,lh
e000547200000,10,1,
e000547200005,10,1,lh
e000547600011,19,1,ul/Mngl
e000547670000,10,1,lh
e000551170001,8,1,uk
e000554010000,22,1,Ul
e000554040000,22,1,Ul
e000554780000,22,1,Ul
e000554860004,22,1,
e000555290008,22,1,Ul
e000555340011,22,1,Ul
e000555440017,22,1,Ul
e000555460018,22,1,Ul
e000556080000,22,1,Ul
e000556410000,24,1,
e000556420000,24,1,Vl
e00055642000a,24,1,Vl
e000556430000,24,1,Vl
e000559170000,21,1,
e000560160020,22,1,Ul
e000560160021,22,1,Ul
e000560170022,22,1,Ul
e000560210034,19,1,ul/mng
e000560260041,19,1,ul/Mngl
e000560330058,19,1,ul/Mngl
e000560340061,22,1,Ul
e000560360066,19,1,ul/Mngl
e000560370067,19,1,ul/Mngl
e000560380070,22,1,Ul
e000560540001,14,1,Mng
e000560860008,19,1,ul/Mngl
e000561140021,22,1,Ul
e000561180027,22,1,Ul
e000561430011,22,1,Ul
e000561500024,22,1,Ul
e000561510027,22,1,Ul
e000561530029,22,1,Ul
e000561530030,24,1,Vl
e000563610000,8,1,k
e000563860010,23,1,
e000564070037,22,1,Ul
e000564090039,22,1,Ul
e000564140046,22,1,Ul
e000564150048,22,1,Ul
e000564250060,22,1,Ul
e000564370003,21,1,
e000564380004,22,1,
e000564390005,21,1,
e000565190006,10,1,lh
e000565580010,10,1,
e000565580012,25,1,
e00056568000a,22,1,Ul
e000566040000,2,2,
e000566040000,22,1,
e000568550001,11,1,mst
e000569020000,19,1,ul/Mngl
e000569030000,14,1,Mng
e000569040000,14,1,Mng
e000569660000,19,1,Rmng
e000569940026,21,1,Ll/ul
e000569940027,21,1,Ll/ul
e000569970030,22,1,Ul
e000569980031,10,1,lh
e000569980032,10,1,lh
e000569990035,10,1,lh
e000570020048,10,1,
e000570040000,19,1,Rmngl
e00057004000a,19,1,Rmngl
e000570050000,19,1,
e000570070000,14,1,Mng
e000570100000,19,1,Rmngl
e000570110000,14,1,Mng
e000570140000,14,1,Mng
e00057014000a,14,1,Mng
e000570150000,14,1,Mng
e000570200000,19,1,Rmngl
e000570210000,14,1,
e000570310005,14,1,Mng
e000570330006,14,1,Mng
e000570450002,22,1,Ul
e000571150000,22,1,Ul
e000571220000,19,1,
e00057142000a,14,1,Mng
e000572030000,22,1,Ul
e000572040000,22,1,Ul
e000572080000,22,1,Ul
e000572260004,22,1,Ul
e000575240010,8,1,
e000575240010,27,2,
e000575290000,5,1,j/rl/ns
e000575290000,27,2,j/rl/ns
e000576710000,14,1,Mng
e000579390000,8,1,k/rl
e000579390000,27,2,k/rl
e000579580010,19,1,ul/Mngl
e000579860000,22,1,
e000582300000,22,1,Ul
e000582870000,22,1,Ul
e000582880000,22,1,Ul
e000583020000,10,1,lh
e000590990002,19,1,ul/rmng
e000592870007,19,1,ul/Mngl
e000592890009,19,1,ul/Mngl
e000593760000,10,1,lh
e000593770000,10,1,lh
e00059378000a,10,1,lh
e000593980000,22,1,Ul
e000593990000,22,1,Ul
e000594070000,19,1,ul/Mngl
e000595380000,10,1,lh
e000595600000,8,1,
e000595600000,22,2,
e000597400000,10,1,lh
e00059740000a,10,1,lh
e000597410000,10,1,lh
e000597430000,10,1,lh
e00059897000a,22,1,Ul
e000598980001,19,1,ul/Mngl
e000599010003,19,1,ul/Mngl
e000599050005,19,1,ul/Mngl
e000599160000,25,1,vs
e00059916000a,25,1,vs
e00059916000b,25,1,vs
e000599730000,22,1,Ul
e000599910000,21,1,
e000600040001,13,1,
e000600040001,20,2,
e000600060002,5,1,j/ul/rl
e000600060002,20,2,j/ul/rl
e000605350034,20,1,Rl/ul
e000605440004,15,1,nl
e000605490007,22,1,Ul
e000605530012,22,1,Ul
e000605550015,22,1,Ul
e000605770038,22,1,Ul
e000605820048,19,1,ul/Mngl
e000606050002,22,1,Ul
e000606290011,22,1,Ul
e000606360001,14,1,
e000606370002,14,1,Mng
e000606370003,14,1,Mng
e000606380004,14,1,Mng
e000606390005,14,1,
e000606390006,14,1,Mng
e000606400007,14,1,Mng
e000606480016,19,1,ul/Mngl
e000606760006,22,1,Ul
e000609890000,24,1,Vl
e000610720001,22,1,Ul
e000610720002,22,1,Ul
e000612810000,22,1,Ul
e000612820000,22,1,Ul
e000612850000,22,1,Ul
e000614540007,10,1,lh
e000614540008,10,1,lh
e000614540009,10,1,lh
e000614550012,10,1,lh
e000614800000,20,1,Rl/ul
e000615490000,14,1,Mng
e000615750000,8,1,uk
e000616310000,22,1,Ul
e00061636000a,14,1,Mng
e000616370000,22,1,Ul
e00061637000a,22,1,Ul
e00061637000b,22,1,Ul
e000616380000,22,1,Ul
e000616390000,22,1,Ul
e000616730012,22,1,Ul
e000617700000,22,1,Ul
e000617710000,22,1,Ul
e000617720000,22,1,Ul
e000617730000,22,1,Ul
e000617740000,22,1,Ul
e000618440000,22,1,Ul
e000618440031,22,1,Ul
e000618440032,22,1,Ul
e000618510000,22,1,Ul
e000618540007,22,1,Ul
e000618550011,22,1,Ul
e000618560012,22,1,Ul
e000618560014,14,1,Mng
e000618580000,22,1,Ul
e000618590000,22,1,Ul
e00061862000a,19,1,ul/Mngl
e000618830000,5,1,j
e000619110000,22,1,Ul
e000619300001,22,1,Ul
e000619300002,22,1,Ul
e000619540000,22,1,Ul
e000619550000,19,1,ul/Mngl
e000619560001,22,1,Ul
e000619560002,22,1,Ul
e000619560003,22,1,Ul
e000619560004,22,1,Ul
e000619820000,22,1,Ul
e000619840000,22,1,Ul
e000619860000,22,1,Ul
e000619960008,14,1,Mng
e000620120002,20,1,Rl/ul
e000620150004,22,1,Ul
e000620150005,22,1,Ul
e000620160006,22,1,Ul
e000621960001,22,1,Ul
e000623480000,22,1,Ul
e000623930000,14,1,Mng
e000626150000,22,1,Ul
e00062623000a,19,1,ul/Mngl
e000626270000,19,1,ul/Mngl
e000626300000,19,1,Rmng
e000626390000,19,1,
e000629120000,19,1,ul/Mngl
e000629130000,4,2,
e000629130000,8,1,
e000629130000,27,3,
e000629940001,22,1,Ul
e000630190000,22,1,Ul
e000630200000,22,1,Ul
e000630650014,22,1,Ul
e000631020000,10,1,lh
e000631220000,14,1,Mng
e000633880008,22,1,Ul
e00063746000a,19,1,Ul/rmngl
e000637970000,2,1,andm
e000639840013,10,1,lh
e000639870002,10,1,lh
e000639890005,21,1,Ll/ul
e000639900008,14,1,Mng
e000639920003,14,1,Mng
e000639920004,22,1,Ul
e000639930008,22,1,Ul
e000640040001,22,1,Ul
e000640060002,22,1,Ul
e000640080004,22,1,Ul
e000640180074,11,1,
e000641750000,22,1,Ul
e000641940000,22,1,Ul
e000641960000,22,1,Ul
e000642310024,10,2,rl/lh/mj
e000642310024,12,1,rl/lh/mj
e000642580037,20,1,Rl/ul
e000643030004,5,1,arh
e000643040005,5,1,j
e000643090009,5,1,j/ul
e000643090009,22,2,j/ul
e00064444001a,21,1,
e000644470001,10,1,
e000644480001,19,1,Rmngl
e00064452001a,21,1,
e000644530002,21,1,
e000644530003,21,1,
e000644530004,21,1,
e000644540006,10,1,
e000644540007,21,1,
e000644550008,21,1,
e000644550009,21,1,
e000644580001,19,1,Rmngl
e000644920003,22,1,Ul
e000645090007,19,1,Rmngl
e000645090008,19,1,Rmngl
e000645100009,19,1,Rmngl
e000645540032,22,1,Ul
e000647050010,22,1,
e000647050011,21,1,
e000647060012,21,1,
e000647360000,2,1,andm
e000647610009,26,1,Lh/rl
e000647650015,22,1,Ul
e000647770003,21,1,
e000647770004,21,1,
e000647780007,22,1,Ul
e000649410006,22,1,Ul
e000649890000,1,1,
e000649890000,22,2,
e00064989000a,1,2,
e00064989000a,15,1,
e00064989000a,24,3,
e000651820001,8,1,
e000651820001,27,2,
e000660080009,10,1,lh
e000660110013,20,1,Rl/ul
e000660250039,22,1,Ul
e00066047057a,26,1,Lh/rl
e000660490075,10,1,lh
e000660490078,10,1,lh
e000660530001,8,1,
e000660530001,27,2,
e000661070001,8,1,
e000661070001,27,2,
e000661100001,8,1,
e000661100001,27,2,
e000661430004,19,1,Rmngl
e000663140104,26,1,lh/ll
e000664290073,10,1,lh
e000664290074,10,1,lh
e000665540004,8,1,
e000665540004,27,2,
e000665550006,8,1,
e000665550006,27,2,
e000665660010,22,1,Ul
e000665750015,22,1,Ul
e000665900000,10,1,lh
e000666090000,26,1,Lh/rl
e000666320000,26,1,ll/uk
e000666630000,8,1,
e000666630000,10,2,
e000666630000,27,3,
e000668380014,19,1,Rmngl
e000673230000,8,1,
e000673230000,27,2,
e000676970000,8,1,
e000678540000,8,1,
e000679150000,8,1,
e000679150000,27,2,
e000679690000,8,1,
e000679690000,27,2,
e000680150000,8,1,
e000680150000,27,2,
e000682520000,8,1,ll/mngl/uk
e000682520000,27,2,ll/mngl/uk
e000685120000,8,1,
e000685120000,27,2,
e000687160000,8,1,
e000687160000,27,2,
e000688670000,8,1,
e000688670000,27,2,
e000689020000,8,1,
e000689020000,27,2,
e000689080000,8,1,
e000689080000,27,2,
e000689140000,8,1,uk
e000689210000,8,1,uk
e000689350000,8,1,uk
e000689420000,8,1,
e000689420000,27,2,
e000689530001,8,1,uk
e000689540002,22,1,Ul
e000689550003,8,1,uk
e000689770002,8,1,uk
e000690040000,19,1,Ul/rmngl
e000690060000,19,1,Ul/rmngl
e000690080000,8,1,uk
e000690260002,8,1,uk
e000690380001,8,1,uk
e000690450002,8,1,uk
e000690480000,8,1,uk
e000690510000,8,1,uk
e000690650000,8,1,uk
e000690690000,8,1,
e000690990001,8,1,uk
e000691020000,8,1,uk
e000691210000,8,1,uk
e000691270001,8,1,uk
e000691310004,8,1,uk
e000691330006,8,1,Mngl/uk
e000691330006,27,2,Mngl/uk
e000691430000,8,1,uk
e000691440002,8,1,uk
e000691480001,8,1,uk
e000691510001,8,1,uk
e000691600002,8,1,uk
e000691640003,8,1,uk
e000691740002,8,1,uk
e000691800002,8,1,uk
e000691900000,8,1,uk
e000691960001,8,1,uk
e000691990000,8,1,uk
e000692010001,8,1,uk
e000692230001,8,1,uk
e000692370000,8,1,
e000692480003,8,1,uk
e000692580000,8,1,uk
e000692660000,8,1,uk
e000692730000,8,1,uk
e000692890000,8,1,
e000693030002,8,1,uk
e000693080000,8,1,uk
e000693160001,8,1,uk
e000693470002,8,1,uk
e000693580002,8,1,uk
e000693640002,8,1,uk
e000693990002,8,1,uk
e000694000003,8,1,uk
e000694010001,8,1,uk
e000694140001,8,1,uk
e000694200001,8,1,uk
e000694290001,8,1,uk
e000694330002,8,1,uk
e000694560005,22,1,Ul
e000694950000,8,1,uk
e000695010000,8,1,uk
e000695040000,8,1,uk
e000695070001,8,1,uk
e000695080002,8,1,uk
e000695150000,8,1,uk
e000695170000,8,1,uk
e000695380001,8,1,uk
e000696170002,22,1,Ul
e000696210000,8,1,uk
e000696230001,8,1,uk
e000696250000,8,1,uk
e000696300000,8,1,uk
e000696370000,8,1,uk
e000696410001,8,1,uk
e000696440000,8,1,Uk/rl/ul
e000696440000,20,2,Uk/rl/ul
e000696480000,8,1,uk
e00069648000a,8,1,uk
e000696520001,8,1,uk
e000696560001,8,1,uk
e000696580002,8,1,uk
e000696600000,8,1,uk
e000696640000,8,1,uk
e000696660001,8,1,uk
e000696730000,8,1,uk
e000696770000,8,1,uk
e000696790000,8,1,uk
e000696920000,8,1,uk
e000696960000,8,1,uk
e000697030000,8,1,uk
e000697080000,8,1,uk
e000697170000,8,1,uk
e000697210000,8,1,uk
e000697280000,8,1,uk
e000697320001,8,1,uk
e000697330002,8,1,uk
e000697340000,8,1,uk
e000697370000,8,1,uk
e000697450000,8,1,uk
e000697470000,8,1,uk
e000697490000,8,1,uk
e000697510000,8,1,uk
e000697550000,8,1,uk
e000697610000,8,1,Uk/ul
e000697610000,22,2,Uk/ul
e000697630000,8,1,uk
e000697650000,8,1,uk
e000697680001,8,1,uk
e000697700002,8,1,uk
e000697770001,8,1,uk
e000697790002,8,1,uk
e000697800001,8,1,uk
e000697830001,8,1,uk
e000697860002,8,1,uk
e000697890000,8,1,uk
e000697960000,8,1,
e000697960000,27,2,
e000697990000,8,1,uk
e000698000000,8,1,uk
e000698030000,8,1,uk
e000698090000,8,1,uk
e000698110000,8,1,rl/ul/uk
e000698110000,20,2,rl/ul/uk
e000698190000,8,1,uk
e000698230000,8,1,uk
e000698250001,8,1,uk
e000698280000,8,1,uk
e000698350000,8,1,uk
e000698380000,8,1,uk
e000698460000,8,1,uk
e000698570001,8,1,uk
e000698580002,8,1,uk
e000698590001,8,1,uk
e000698610002,8,1,uk
e000698620000,8,1,uk
e00069867000a,8,1,uk
e000698690000,8,1,uk
e000698730000,8,1,uk
e000698750000,8,1,uk
e000698800000,8,1,uk
e000698840000,8,1,uk
e000698870000,8,1,uk
e000698980000,8,1,uk
e000699010000,8,1,uk
e000699040000,8,1,
e000699040000,20,2,
e000699080000,8,1,uk
e000699100000,8,1,uk
